"Краткое наименование";"Форма собственности";"ИНН";"КПП";"Руководитель";"Код КАСУ НСИ";"На проверке";"Требуется проверка";"Полное наименование";"Тип контрагента";"Скрывать при выборе"
МПР ФИЛИАЛА МЦ АУВД ФГУП ГК ПО ОРВД;Профсоюзная организация;7732109979;772901001;Пралич Андрей Иванович (Председатель);MDM-512-000234352;нет;нет;МЕЖРЕГИОНАЛЬНЫЙ ПРОФСОЮЗ РАБОТНИКОВ ФИЛИАЛА МОСКОВСКИЙ ЦЕНТР АВТОМАТИЗИРОВАННОГО УПРАВЛЕНИЯ ВОЗДУШНЫМ ДВИЖЕНИЕМ ФЕДЕРАЛЬНОГО ГОСУДАРСТВЕННОГО УНИТАРНОГО ПРЕДПРИЯТИЯ ГК ПО ОРГАНИЗАЦИИ ВОЗДУШНОГО ДВИЖЕНИЯ В РОССИЙСКОЙ ФЕДЕРАЦИИ;Юридическое лицо;нет
ФГУП ГК ПО ОРВД;;7734135124;771401001;Моисеенко Игорь Николаевич (ГЕНЕРАЛЬНЫЙ ДИРЕКТОР);MDM-713-000552830;нет;нет;ФГУП ГК ПО ОРГАНИЗАЦИИ ВОЗДУШНОГО ДВИЖЕНИЯ В РОССИЙСКОЙ ФЕДЕРАЦИИ;Юридическое лицо;нет
ФГУП ГК ПО ОРВД;;7734135124;771401001;Моисеенко Игорь Николаевич (ГЕНЕРАЛЬНЫЙ ДИРЕКТОР);MDM-514-000815109;нет;нет;ФГУП ГК ПО ОРГАНИЗАЦИИ ВОЗДУШНОГО ДВИЖЕНИЯ В РОССИЙСКОЙ ФЕДЕРАЦИИ;Юридическое лицо;нет
