"Краткое наименование";"Форма собственности";"ИНН";"КПП";"Руководитель";"Код КАСУ НСИ";"На проверке";"Требуется проверка";"Полное наименование";"Тип контрагента";"Скрывать при выборе"
"КАЗАНСКИЙ АВИАЦИОННЫЙ ЗАВОД ИМ.С.П.ГОРБУНОВА-ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ""ТУПОЛЕВ""";Филиал;7705313252;166102001;;MDM-713-000553186;нет;нет;КАЗАНСКИЙ АВИАЦИОННЫЙ ЗАВОД ИМ.С.П.ГОРБУНОВА-ФИЛИАЛ ПУБЛИЧНОГО АКЦИОНЕРНОГО ОБЩЕСТВА ТУПОЛЕВ;Юридическое лицо;нет
ТУПОЛЕВ;ПАО;7705313252;770901001;Конюхов Александр Владимирович (Генеральный директор);MDM-412-000225675;нет;нет;ТУПОЛЕВ;Юридическое лицо;нет
ТУПОЛЕВ;ПАО;7705313252;770901001;Шарипов Ронис Накипович (ГЕНЕРАЛЬНЫЙ ДИРЕКТОР);MDM-713-000552890;нет;нет;ТУПОЛЕВ;Юридическое лицо;нет
